Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1883,23,NYG,NL,23,79,76,8,15,3,0,0,5,,,3,15,.197,.228,.237,.465,42,18,,,,,,1/O,
1884,24,STL,AA,78,311,297,49,82,13,11,3,54,,,12,,.276,.309,.424,.733,132,126,,2,,,,O1/3,
1885,25,STL,AA,52,223,206,44,72,7,4,3,38,,,13,,.350,.399,.466,.865,166,96,,4,,,,O,
1886,26,STL,AA,138,633,579,106,190,28,14,3,107,9,,47,,.328,.385,.440,.826,155,255,,7,,,,*O,
1887,27,STL,AA,124,572,517,167,225,52,19,14,123,30,,50,20,.435,.490,.691,1.180,213,357,,5,,,,*O,
1888,28,STL,AA,130,577,529,96,177,24,10,5,98,26,,44,28,.335,.390,.446,.836,158,236,,4,,,,*O,
1889,29,STL,AA,134,611,534,123,179,33,8,9,110,28,,72,37,.335,.419,.478,.897,143,255,,5,,,,*O,
1890,30,CHI,PL,137,647,577,112,174,20,16,3,75,29,,65,36,.302,.377,.407,.784,106,235,,5,,,,*O,
1891,31,STL,AA,127,584,514,111,166,28,4,10,95,25,,61,33,.323,.404,.451,.855,137,232,,9,,,,*O,
1892,32,CIN,NL,109,475,419,63,105,14,6,2,52,14,,53,25,.251,.339,.327,.666,102,137,,3,,,,*O,
10 Yrs,,,,1052,4712,4248,879,1385,222,92,52,757,161,,420,194,.326,.392,.458,.851,144,1947,,44,,,,,
162 Game Avg,,,,162,726,654,135,213,34,14,8,117,,,65,,.326,.392,.458,.851,144,300,,,,,,,
