Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1945,26,KCM,NAL,34,137,120,25,45,13,1,4,27,3,,16,,.375,.449,.600,1.049,208,72,,0,1,,0,*6/3,AS
1947,28,BRO,NL,151,701,590,125,175,31,5,12,48,29,11,74,36,.297,.383,.427,.810,112,252,5,9,28,,3,*3,MVP-5RoY-1
1948,29,BRO,NL,147,648,574,108,170,38,8,12,85,22,14,57,37,.296,.367,.453,.820,117,260,7,7,8,,2,*43/5H,MVP-15
1949,30,BRO,NL,156,704,593,122,203,38,12,16,124,37,16,86,27,.342,.432,.528,.960,152,313,22,8,17,,12,*4,ASMVP-1
1950,31,BRO,NL,144,613,518,99,170,39,4,14,81,12,5,80,24,.328,.423,.500,.923,139,259,11,5,10,,14,*4/H,ASMVP-15
1951,32,BRO,NL,153,642,548,106,185,33,7,19,88,25,8,79,27,.338,.429,.527,.957,154,289,10,9,6,,6,*4/H,ASMVP-6
1952,33,BRO,NL,149,636,510,104,157,17,3,19,75,24,7,106,40,.308,.440,.465,.904,149,237,16,14,6,,8,*4/H,ASMVP-7
1953,34,BRO,NL,136,574,484,109,159,34,7,12,95,17,4,74,30,.329,.425,.502,.927,138,243,12,7,9,,5,75/43H6,ASMVP-12
1954,35,BRO,NL,124,465,386,62,120,22,4,15,59,7,3,63,20,.311,.413,.505,.918,135,195,13,7,5,4,4,75/H49,AS
1955,36,BRO,NL,105,390,317,51,81,6,2,8,36,12,3,61,18,.256,.378,.363,.740,95,115,8,3,6,3,5,5H7/34,
1956,37,BRO,NL,117,431,357,61,98,15,2,10,43,12,5,60,32,.275,.382,.412,.793,107,147,9,3,9,2,2,54H/37,MVP-16
11 Yrs,,,,1416,5941,4997,972,1563,286,55,141,761,200,76,756,291,.313,.410,.477,.887,133,2382,113,72,105,9,61,,
162 Game Avg,,,,162,680,572,111,179,33,6,16,87,23,,86,,.313,.410,.477,.887,133,273,,8,12,,7,,
