Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1989,22,MON,NL,20,56,47,4,8,0,0,0,4,1,1,5,13,.170,.264,.170,.434,27,8,0,1,3,0,0,9/H7,
1990,23,MON,NL,133,478,419,59,101,18,3,19,51,21,7,49,112,.241,.326,.434,.761,112,182,8,5,3,2,5,*9H,RoY-7
1991,24,MON,NL,137,539,487,59,141,30,2,16,64,14,9,42,102,.290,.349,.458,.807,127,223,7,5,1,4,2,93/8H,
1992,25,MON,NL,143,583,528,85,159,31,4,23,93,18,6,41,97,.301,.353,.506,.859,141,267,9,6,0,8,10,*9/H,ASMVP-5GGSS
1993,26,MON,NL,138,582,490,85,130,24,5,22,86,29,7,80,76,.265,.371,.469,.841,120,230,8,6,0,6,20,*9/3H,GG
1994,27,MON,NL,103,452,395,76,127,44,2,19,86,15,5,47,74,.322,.394,.587,.981,151,232,8,4,0,6,5,93/H,MVP-11
1995,28,COL,NL,131,562,494,96,151,31,5,36,101,16,3,49,72,.306,.381,.607,.988,131,300,13,14,0,5,13,*9/8H,MVP-7
1996,29,COL,NL,83,304,272,58,75,18,4,18,58,18,2,20,58,.276,.342,.570,.912,116,155,7,9,0,3,2,89/H,
1997,30,COL,NL,153,664,568,143,208,46,4,49,130,33,8,78,90,.366,.452,.720,1.172,178,409,15,14,0,4,14,*9/38HD,ASMVP-1GGSS
1998,31,COL,NL,130,524,454,113,165,46,3,23,67,14,4,64,61,.363,.445,.630,1.075,158,286,11,4,0,2,2,*9/H845D,ASMVP-17GG
1999,32,COL,NL,127,513,438,108,166,26,4,37,115,11,4,57,52,.379,.458,.710,1.168,164,311,12,12,0,6,8,*9H/D,ASMVP-10GGSS
2000,33,COL,NL,87,372,314,64,97,21,7,9,51,5,5,46,40,.309,.409,.506,.915,110,159,12,9,0,3,4,97/HD,
2001,34,COL,NL,142,601,497,107,174,35,3,38,123,14,5,82,103,.350,.449,.662,1.111,160,329,9,14,0,8,6,*9/HD,ASMVP-24GG
2002,35,COL,NL,136,553,477,95,161,40,4,26,104,6,5,65,73,.338,.421,.602,1.023,151,287,8,7,0,4,6,*9/DH,MVP-20GG
2003,36,COL,NL,143,564,454,86,129,25,7,16,79,7,4,98,87,.284,.422,.476,.898,121,216,9,11,0,1,14,*9H/D,
2004,37,TOT,NL,82,316,258,51,77,16,4,17,47,6,0,49,57,.298,.424,.589,1.013,154,152,8,8,0,1,3,9/H8D,
2004,37,COL,NL,38,138,108,22,35,9,3,6,20,2,0,25,23,.324,.464,.630,1.093,166,68,2,4,0,1,2,9/HD,
2004,37,STL,NL,44,178,150,29,42,7,1,11,27,4,0,24,34,.280,.393,.560,.953,144,84,6,4,0,0,1,9/H8,
2005,38,STL,NL,100,367,315,66,91,20,1,15,52,2,1,41,64,.289,.384,.502,.886,130,158,9,9,0,2,3,9H/D8,
17 Yrs,,,,1988,8030,6907,1355,2160,471,62,383,1311,230,76,913,1231,.313,.400,.565,.965,141,3904,153,138,7,65,117,,
162 Game Avg,,,,162,654,563,110,176,38,5,31,107,19,6,74,100,.313,.400,.565,.965,141,318,12,11,1,5,10,,
